File,Bytes,Modified,SHA256
AVATAR_POOL_NORMALIZED.csv,193627,2026-06-20 02:07:16,23EAF2427BB4A92278DAF8BCA2D0FF9F3D4A95C9F8E6992AAB040EF8289D7333
Bosmax Custom Instruction.txt,7391,2026-06-21 19:49:47,16AA8EA4442798B72D298C5A28CC96A30010ED57FD560E6B8010452E8B758209
BOSMAX_FINAL_11_FILE_MANIFEST.csv,1276,2026-06-21 19:50:13,SELF_REFERENCE_NOT_HASHED
COPYWRITING_FRAMEWORK_UNIVERSAL.yaml,14535,2026-06-21 19:53:51,902C87758F84C62D3FF862AEDD12F7529FFC8492EF648EA52852B4C9361E62B4
COPYWRITING_MASTER_BOSMAX.xlsx,28188,2026-06-21 18:50:16,70B7A469E1E4656299600C115FB6B8611B378801EF6C871D64F1E788AE60E2D0
COPYWRITING_MASTER_MWTCB_REPAIRED.xlsx,81534,2026-06-21 18:50:17,6EA1E7E334C23CCA356792590C97B2C5566ED43D37055E8616A4236FA3A050B9
hybrid_frames_ingredients_9_section_video_prompt_report_CORRECTED.md,52794,2026-06-21 19:53:51,C39CA65C07336C42A5D299B8264F5C9E5DEFCD2A4770348BAC68E9E456F91322
UNIVERSAL_PRODUCT_SCHEMA.json,3860,2026-06-21 19:51:47,6A5B6BBB9A040BD2ABCCD681C282DDAF098D1E9AF520B393BFA89D9920359CEE
VIDEO_PROMPT_COMPILER_TEMPLATES.yaml,5958,2026-06-21 19:53:51,C6473E504752B9807D78D0D6C71D6F9BA5A85A5BC712CD00DDF3A22B01E272D6
WPS_Blocking_Template_REPAIRED.xlsx,26393,2026-06-21 18:50:16,C586F0F5CC2FB701F37BB93762F359F88E569CBA80E9D3D7883E1D85D4F16112
